id,PositionTitle,Designation,Agency,Locations,VacancyType,Vacancy6MonthsOrLess,EmploymentCategory,NumberOfVacancies,NumberOfVacancies Several ,NumberOfApplicants,NumberOfSuccessfulApplicants
197993,Rural Medical Practitioner / Senior Rural Medical Practitioner,"RURAL MEDICAL PRACTITIONER RL3.1-RL3.5, SNR RURAL MEDICAL PRACTITIONER RL4.1-4.4",Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,Medical,,Several,2,0
198000,Housing Officer,ADMINISTRATIVE OFFICER 4,"Department of Territory Families, Housing and Communities",Katherine,Fixed (Temporary) - Full Time,,"Administration and Business Services, Community Services",1,,17,1
198002,Administration Support Officer - Maintenance,ADMINISTRATIVE OFFICER 3,"Department of Territory Families, Housing and Communities",Katherine,Fixed (Temporary) - Full Time,,"Administration and Business Services, Community Services",1,,15,1
198003,Director Asset Management,SENIOR ADMINISTRATIVE OFFICER 1,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Executive and Senior Management, Procurement, Grants and Contract Management",1,,0,0
198004,Senior Teacher - Inclusive Practices,SENIOR TEACHER 1,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,8,1
198022,Manager Information Access Team,ADMINISTRATIVE OFFICER 6,"NT Police, Fire and Emergency Services",Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Police, Fire and Emergency Workers",1,,18,1
198029,Clinical Pharmacist,PROFESSIONAL 2,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Full Time,YES,"Allied Health and Health Care Services, Professional",1,,9,1
198036,Collection Specialist,JACANA ENERGY LEVEL 2,Jacana Energy,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,27,1
198038,Psychiatric Registrar,REGISTRAR REG1-REG6,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,"Medical, Allied Health and Health Care Services",2,,10,2
198042,Special Education Needs Coordinator,CLASSROOM TEACHER,Department of Education,Katherine,Fixed (Temporary) - Full Time,,Education and Training,1,,1,0
198046,Housing Services Team Leader,ADMINISTRATIVE OFFICER 5,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Community Services",1,,18,1
198048,Onestaff Information Management Officer,ADMINISTRATIVE OFFICER 4,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Information and Records Management, Payroll, Administration and Business Services",1,,33,3
198055,Project Manager Infrastructure - Building,TECHNICAL 5,"Department of Infrastructure, Planning and Logistics",Nhulunbuy,Ongoing (Permanent) - Full Time,,"Construction, Architecture and Design, Program and Project Management",1,,12,0
198058,Senior District Weed Officer,PROFESSIONAL 2,"Department of Environment, Parks and Water Security",Katherine,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Professional",1,,2,0
198062,Project Nurse Coordinator Clinical Standards,NURSE LEVEL 5,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Nursing and Midwifery, Program and Project Management",1,,2,0
198064,Principal Procurement Advisor,SENIOR ADMINISTRATIVE OFFICER 1,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Procurement, Grants and Contract Management",1,,5,1
198074,Supply and Contract Manager,ADMINISTRATIVE OFFICER 6,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,15,1
198086,Clinical Pharmacist,PROFESSIONAL 2,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Professional",,Several,32,5
198090,Special Education Support Officer,ADMINISTRATIVE OFFICER 4 96%,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",3,,58,3
198102,Clinical Mental Health Nurse Specialist - Mental Health Access Team,NURSE LEVEL 4 RDO,Department of Health,Darwin,Fixed (Temporary) - Full Time,,Nursing and Midwifery,1,,6,1
198104,7 Day Operator/Maintainer  - Mechanical,TGEN OPERATOR/MAINTAINER,Territory Generation,Darwin,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,31,1
198107,Medicine Support Worker,TECHNICAL 3,Department of Health,Wurrumiyanga (Nguiu –Bathurst Is),Fixed (Temporary) - Full Time,,Allied Health and Health Care Services,1,,3,1
198118,Frontline Services Officer,ADMINISTRATIVE OFFICER 3,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Information and Records Management, Legal",1,,58,1
198120,Operations Coordinator,ADMINISTRATIVE OFFICER 4,Department of Health,Wurrumiyanga (Nguiu –Bathurst Is),Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Administration and Business Services",1,,9,1
198136,Business Support Officer,ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Human Resources and Work Health Safety",1,,73,1
198137,Clinical Nurse Manager,NURSE LEVEL 6 RDO,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Nursing and Midwifery, Medical",1,,0,0
198139,Data Warehouse Developer,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",2,,20,0
198146,Team Leader Rostering and Compliance Royal Darwin and Palmerston Hospitals,ADMINISTRATIVE OFFICER 6,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Information and Records Management, Payroll",1,,10,1
198150,Team Leader North East Arnhem,PROFESSIONAL 3,"Department of Territory Families, Housing and Communities",Elcho Isl-Galiwinku,Fixed (Temporary) - Full Time,,"Child Protection, Community Services, Social Work, Professional",1,,5,1
198151,Project Support Officer,ADMINISTRATIVE OFFICER 4,"Department of Infrastructure, Planning and Logistics",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Community Services, Program and Project Management",1,,16,1
198152,Court Officer,ADMINISTRATIVE OFFICER 7,"Department of Territory Families, Housing and Communities",Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Child Protection, Community Services, Legal, Social Work",1,,18,1
198153,Technical Officer,TECHNICAL 3,"Department of Industry, Tourism and Trade",Darwin,Fixed (Temporary) - Full Time,,"Agriculture, Animal and Horticulture, Science",1,,23,1
198155,Senior Industry Officer – Horticulture,SENIOR INDUSTRIES OFFICER,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Agriculture, Animal and Horticulture, Community Services, Prison Services, Program and Project Management",1,,4,1
198157,Team Leader Environmental Health ,PROFESSIONAL 3,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Environment, Natural Resources and Conservation, Professional",1,,3,1
198158,Project Assurance Officer,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,Information and Communication Technology (ICT),1,,13,1
198159,Principal,EXECUTIVE CONTRACT PRINCIPAL LEVEL 2,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Education and Training, Executive and Senior Management",1,,5,0
198164,Project Director Connected Beginnings,SENIOR ADMINISTRATIVE OFFICER 2,Department of Education,Angurugu,Fixed (Temporary) - Full Time,,"Program and Project Management, Administration and Business Services, Education and Training",1,,6,1
198166,Clinical Nurse Specialist - Remote Mental Health,NURSE LEVEL 4 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Medical, Nursing and Midwifery",1,,3,0
198169,Environmental Health Officer,PROFESSIONAL 2,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Environment, Natural Resources and Conservation, Professional",1,,12,2
198176,Redress Administration Officer  ,ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Legal",1,,43,1
198178,Assistant Payroll Manager,ADMINISTRATIVE OFFICER 5,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,YES,"Payroll, Accounting and Finance, Administration and Business Services",,Several,27,1
198179,Program Finance Officer,ADMINISTRATIVE OFFICER 5,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,32,1
198195,Primary Produce Processing Officer,TECHNICAL 4,"Department of Industry, Tourism and Trade",Darwin,Ongoing (Permanent) - Full Time,,"Agriculture, Animal and Horticulture, Primary Industry",1,,6,0
198199,Director of Nursing and Operations,NURSE LEVEL 7,Department of Health,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Medical, Allied Health and Health Care Services",1,,0,0
198200,Veterinary Officer,PROFESSIONAL 2,"Department of Industry, Tourism and Trade",Darwin,Fixed (Temporary) - Full Time,,"Agriculture, Animal and Horticulture, Professional",1,,3,1
198202,Recreational Fishing Research Manager,ADMINISTRATIVE OFFICER 6,"Department of Industry, Tourism and Trade",Darwin,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Primary Industry, Program and Project Management",1,,5,1
198203,Senior Lawyer,"SENIOR PROFESSIONAL OFFICER 1, SENIOR PROFESSIONAL OFFICER 2",Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Legal, Professional",1,,4,0
198205,Geographic Information System Team Lead,PWC BAND 4 PROFESSIONAL FT,Power and Water Corporation,Darwin,Ongoing (Permanent) - Full Time,,"Professional, Science, Program and Project Management",1,,8,1
198207,Lawyer,PROFESSIONAL 3,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Legal, Professional",1,,7,0
198209,Connected Beginnings Service Coordination Officer,ADMINISTRATIVE OFFICER 5,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,Community Services,1,,0,0
198210,Connected Beginnings Service Coordination Officer,ADMINISTRATIVE OFFICER 5,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,Community Services,1,,5,1
198214,Senior Teacher – Year 9 Coordinator,SENIOR TEACHER 1,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,Education and Training,1,,11,1
198218,"Senior Teacher - Science, Agriculture and STEM",SENIOR TEACHER 1,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,Education and Training,1,,5,1
198220,Rosters Clerk,ADMINISTRATIVE OFFICER 3,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Prison Services",1,,32,1
198221,Senior Teacher - Year 11 Coordinator,SENIOR TEACHER 1,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,Education and Training,1,,10,1
198222,Senior Teacher – The Arts and Home Economics,SENIOR TEACHER 1,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,Education and Training,1,,2,0
198223,Senior Teacher - English and English as an Additional Language or Dialect,SENIOR TEACHER 1,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,Education and Training,1,,5,0
198225,"Senior Teacher, Mathematics and Digital Technology",SENIOR TEACHER 1,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,Education and Training,1,,5,0
198234,Senior Project Officer,ADMINISTRATIVE OFFICER 7,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Program and Project Management",1,,17,1
198242,Geriatric Evaluation Management Allied Health Coordinator,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Medical",1,,4,0
198244,Regional and Club Development Officer,ADMINISTRATIVE OFFICER 5,"Department of Territory Families, Housing and Communities",Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Community Services",1,,14,1
198245,Principal,EXECUTIVE CONTRACT PRINCIPAL LEVEL 2,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Education and Training, Executive and Senior Management",1,,9,1
198249,Program Officer,ADMINISTRATIVE OFFICER 6,"Department of Industry, Tourism and Trade",Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Program and Project Management",2,,36,2
198264,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2","Department of Territory Families, Housing and Communities","Alice Springs, Tennant Creek",Ongoing (Permanent) - Full Time,,"Child Protection, Professional, Social Work, Community Services",,Several,7,1
198265,Middle Years Engagement Teacher - English and Humanities,CLASSROOM TEACHER,Department of Education,Katherine,Fixed (Temporary) - Full Time,,Education and Training,,Several,6,0
198268,Primary Health Care Nurse,NURSE LEVEL 4,Department of Health,Robinson River,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Medical",1,,2,0
198272,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2","Department of Territory Families, Housing and Communities","Alice Springs, Tennant Creek",Ongoing (Permanent) - Full Time,,"Child Protection, Professional, Social Work, Community Services",,Several,9,1
198273,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2","Department of Territory Families, Housing and Communities","Alice Springs, Tennant Creek",Ongoing (Permanent) - Full Time,,"Child Protection, Professional, Social Work, Community Services",,Several,6,2
198275,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2","Department of Territory Families, Housing and Communities","Alice Springs, Tennant Creek",Ongoing (Permanent) - Full Time,,"Child Protection, Professional, Social Work, Community Services",,Several,13,3
198276,Integrated Early Childhood Services Leader,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,"Education and Training, Administration and Business Services",1,,6,1
198277,Maths Pedagogy Coach,SENIOR TEACHER 1,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,Education and Training,1,,1,1
198287,Director of Nursing and Midwifery/Deputy General Manager,NURSE LEVEL 8,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,0,0
198289,"Middle Years Engagement Teacher, Science and Mathematics",CLASSROOM TEACHER,Department of Education,Katherine,Fixed (Temporary) - Full Time,,Education and Training,1,,3,0
198290,Senior Lawyer - Litigation,"SENIOR PROFESSIONAL OFFICER 1, SENIOR PROFESSIONAL OFFICER 2",Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Legal, Professional",1,,4,1
